Customer_ID,City,Age_Group,Gender,Segment,Total_Orders,Lifetime_Value,Avg_Order_Value,Preferred_Category,NPS_Score
CUST00001,Chennai,35-44,Male,Regular,14,8499.6,607.11,Baby Care,2
CUST00002,Kolkata,45-54,Male,Regular,5,1717.38,343.48,Beverages,9
CUST00003,Delhi,55+,Male,Regular,7,4843.79,691.97,Beverages,5
CUST00004,Delhi,25-34,Female,Regular,16,11214.13,700.88,Fruits & Veg,1
CUST00005,Kolkata,45-54,Male,Regular,5,4329.48,865.9,Bakery,10
CUST00006,Hyderabad,25-34,Female,Premium,33,16990.53,514.86,Beverages,9
CUST00007,Delhi,25-34,Female,New,1,646.69,646.69,Frozen Food,4
CUST00008,Mumbai,55+,Male,Premium,32,17304.8,540.77,Dairy & Breakfast,3
CUST00009,Bangalore,18-24,Female,New,2,901.23,450.62,Dairy & Breakfast,8
CUST00010,Ahmedabad,35-44,Male,Regular,14,9117.21,651.23,Fruits & Veg,2
CUST00011,Chennai,35-44,Male,Regular,4,2331.92,582.98,Bakery,7
CUST00012,Kolkata,35-44,Female,Regular,20,6629.94,331.5,Bakery,10
CUST00013,Pune,25-34,Male,New,2,1024.39,512.2,Snacks & Munchies,7
CUST00014,Mumbai,18-24,Female,Premium,70,60288.79,861.27,Dairy & Breakfast,10
CUST00015,Delhi,35-44,Male,Churned,5,4473.59,894.72,Bakery,6
CUST00016,Lucknow,25-34,Male,Regular,17,9107.15,535.71,Personal Care,8
CUST00017,Pune,35-44,Female,Premium,29,16061.93,553.86,Beverages,4
CUST00018,Mumbai,25-34,Female,Regular,19,10279.57,541.03,Fruits & Veg,8
CUST00019,Bangalore,35-44,Female,New,3,2428.09,809.36,Frozen Food,4
CUST00020,Lucknow,55+,Male,New,2,1790.52,895.26,Bakery,2
CUST00021,Ahmedabad,35-44,Female,Regular,17,6977.52,410.44,Frozen Food,9
CUST00022,Pune,45-54,Female,Regular,9,5201.24,577.92,Meat & Seafood,4
CUST00023,Delhi,55+,Male,Regular,4,2269.11,567.28,Fruits & Veg,1
CUST00024,Mumbai,25-34,Male,New,1,643.05,643.05,Cleaning,4
CUST00025,Mumbai,35-44,Male,Premium,63,33267.87,528.06,Frozen Food,1
CUST00026,Ahmedabad,18-24,Female,New,2,1479.38,739.69,Beverages,6
