Date,Month,Quarter,City,Total_Deliveries,OnTime_Deliveries,Late_Deliveries,OnTime_Rate_Pct,Avg_Delivery_Time_Min,Avg_Rider_Rating
2024-01-01,Jan,Q1,Mumbai,322,305,16,94.8,37.5,4.36
2024-01-01,Jan,Q1,Delhi,271,222,48,82.0,19.3,4.53
2024-01-01,Jan,Q1,Bangalore,189,177,11,93.8,10.8,4.83
2024-01-01,Jan,Q1,Hyderabad,491,436,54,89.0,30.8,4.79
2024-01-01,Jan,Q1,Chennai,282,221,60,78.6,17.9,3.99
2024-01-01,Jan,Q1,Pune,396,344,51,87.0,29.3,4.34
2024-01-01,Jan,Q1,Kolkata,580,533,46,91.9,33.9,4.06
2024-01-01,Jan,Q1,Ahmedabad,591,512,78,86.8,19.4,3.85
2024-01-01,Jan,Q1,Jaipur,230,204,25,88.8,19.0,4.97
2024-01-01,Jan,Q1,Lucknow,535,492,42,92.1,30.3,4.68
2024-01-02,Jan,Q1,Mumbai,296,269,26,91.2,39.4,4.56
2024-01-02,Jan,Q1,Delhi,106,95,10,90.4,15.8,4.11
2024-01-02,Jan,Q1,Bangalore,201,189,11,94.4,39.8,4.56
2024-01-02,Jan,Q1,Hyderabad,302,280,21,92.8,25.8,3.87
2024-01-02,Jan,Q1,Chennai,332,301,30,90.9,30.8,4.11
2024-01-02,Jan,Q1,Pune,390,375,14,96.2,36.2,4.34
2024-01-02,Jan,Q1,Kolkata,338,284,53,84.3,22.1,4.32
2024-01-02,Jan,Q1,Ahmedabad,344,269,74,78.4,34.0,4.91
2024-01-02,Jan,Q1,Jaipur,299,238,60,79.9,20.4,4.5
2024-01-02,Jan,Q1,Lucknow,276,228,47,82.9,30.1,4.84
2024-01-03,Jan,Q1,Mumbai,509,457,51,89.8,38.2,4.02
2024-01-03,Jan,Q1,Delhi,304,266,37,87.7,29.9,4.78
2024-01-03,Jan,Q1,Bangalore,264,242,21,91.9,14.9,4.45
2024-01-03,Jan,Q1,Hyderabad,364,304,59,83.7,13.0,4.62
2024-01-03,Jan,Q1,Chennai,146,136,9,93.8,37.4,3.96
2024-01-03,Jan,Q1,Pune,276,216,59,78.4,35.8,4.13
2024-01-03,Jan,Q1,Kolkata,170,148,21,87.4,30.2,4.69
2024-01-03,Jan,Q1,Ahmedabad,391,333,57,85.2,39.0,4.57
2024-01-03,Jan,Q1,Jaipur,203,164,38,81.1,32.5,4.07
2024-01-03,Jan,Q1,Lucknow,554,529,24,95.6,28.0,4.58
2024-01-04,Jan,Q1,Mumbai,291,245,45,84.4,13.2,4.95
2024-01-04,Jan,Q1,Delhi,340,287,52,84.5,33.9,4.25
2024-01-04,Jan,Q1,Bangalore,520,453,66,87.2,28.3,4.46
2024-01-04,Jan,Q1,Hyderabad,137,109,27,80.2,36.4,4.12
2024-01-04,Jan,Q1,Chennai,415,376,38,90.8,37.6,3.91
2024-01-04,Jan,Q1,Pune,130,109,20,83.9,38.8,4.66
2024-01-04,Jan,Q1,Kolkata,476,441,34,92.8,20.2,4.97
2024-01-04,Jan,Q1,Ahmedabad,323,310,12,96.2,20.7,3.95
2024-01-04,Jan,Q1,Jaipur,250,226,23,90.4,24.3,4.6
2024-01-04,Jan,Q1,Lucknow,292,238,53,81.7,20.1,4.26
2024-01-05,Jan,Q1,Mumbai,472,424,47,90.0,27.8,4.78
2024-01-05,Jan,Q1,Delhi,337,279,57,83.0,25.5,3.86
2024-01-05,Jan,Q1,Bangalore,191,159,31,83.7,16.3,4.94
2024-01-05,Jan,Q1,Hyderabad,232,200,31,86.4,23.3,4.22
2024-01-05,Jan,Q1,Chennai,594,509,84,85.7,35.0,4.12
2024-01-05,Jan,Q1,Pune,288,247,40,86.1,18.9,4.09
2024-01-05,Jan,Q1,Kolkata,515,472,42,91.7,22.8,4.89
2024-01-05,Jan,Q1,Ahmedabad,296,235,60,79.7,37.0,4.44
2024-01-05,Jan,Q1,Jaipur,299,262,36,87.9,9.7,4.53
2024-01-05,Jan,Q1,Lucknow,412,351,60,85.3,30.0,3.98
2024-01-06,Jan,Q1,Mumbai,532,508,23,95.6,35.2,4.21
2024-01-06,Jan,Q1,Delhi,133,104,28,78.2,26.4,4.73
2024-01-06,Jan,Q1,Bangalore,154,137,16,89.3,17.7,4.13
2024-01-06,Jan,Q1,Hyderabad,588,566,21,96.4,12.0,4.39
2024-01-06,Jan,Q1,Chennai,486,453,32,93.4,40.7,3.83
2024-01-06,Jan,Q1,Pune,428,390,37,91.3,29.4,4.06
2024-01-06,Jan,Q1,Kolkata,107,92,14,86.6,16.2,4.91
2024-01-06,Jan,Q1,Ahmedabad,263,218,44,83.1,35.6,4.96
2024-01-06,Jan,Q1,Jaipur,546,504,41,92.4,19.1,4.36
2024-01-06,Jan,Q1,Lucknow,330,281,48,85.2,32.4,4.34
2024-01-07,Jan,Q1,Mumbai,270,234,35,86.7,21.9,4.79
2024-01-07,Jan,Q1,Delhi,546,523,22,95.8,15.5,4.86
2024-01-07,Jan,Q1,Bangalore,102,92,9,91.1,11.4,4.96
2024-01-07,Jan,Q1,Hyderabad,134,123,10,92.0,15.8,4.14
2024-01-07,Jan,Q1,Chennai,584,538,45,92.2,38.8,4.73
2024-01-07,Jan,Q1,Pune,311,266,44,85.7,38.4,4.11
2024-01-07,Jan,Q1,Kolkata,438,346,91,79.2,20.2,4.33
2024-01-07,Jan,Q1,Ahmedabad,156,141,14,90.6,18.8,4.08
2024-01-07,Jan,Q1,Jaipur,267,224,42,84.1,20.7,4.96
2024-01-07,Jan,Q1,Lucknow,428,412,15,96.3,22.4,4.97
2024-01-08,Jan,Q1,Mumbai,362,315,46,87.1,19.4,4.6
2024-01-08,Jan,Q1,Delhi,589,513,75,87.2,16.4,4.36
2024-01-08,Jan,Q1,Bangalore,220,192,27,87.5,15.4,4.11
2024-01-08,Jan,Q1,Hyderabad,348,306,41,88.2,15.5,4.05
2024-01-08,Jan,Q1,Chennai,167,139,27,83.4,33.2,4.21
2024-01-08,Jan,Q1,Pune,331,295,35,89.2,24.9,4.15
2024-01-08,Jan,Q1,Kolkata,170,156,13,92.2,34.4,4.66
2024-01-08,Jan,Q1,Ahmedabad,469,433,35,92.5,19.9,3.83
2024-01-08,Jan,Q1,Jaipur,415,363,51,87.7,19.3,4.3
2024-01-08,Jan,Q1,Lucknow,342,329,12,96.2,27.4,4.97
2024-01-09,Jan,Q1,Mumbai,533,511,21,95.9,28.5,3.85
2024-01-09,Jan,Q1,Delhi,222,201,20,90.9,41.5,4.97
2024-01-09,Jan,Q1,Bangalore,132,113,18,85.8,16.0,3.94
2024-01-09,Jan,Q1,Hyderabad,523,474,48,90.7,23.4,3.81
2024-01-09,Jan,Q1,Chennai,370,346,23,93.7,13.1,4.72
2024-01-09,Jan,Q1,Pune,467,433,33,92.9,35.1,4.48
2024-01-09,Jan,Q1,Kolkata,448,370,77,82.7,9.5,4.32
2024-01-09,Jan,Q1,Ahmedabad,312,289,22,92.9,12.4,3.9
2024-01-09,Jan,Q1,Jaipur,560,492,67,87.9,27.9,4.47
2024-01-09,Jan,Q1,Lucknow,148,117,30,79.4,22.1,4.47
